"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Births"
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"40-44 years"	"40-44"	86
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"July"	"7"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2016"	"2016"	"August"	"8"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"August"	"8"	"15-19 years"	"15-19"	411
	"Alabama"	"01"	"2016"	"2016"	"August"	"8"	"20-24 years"	"20-24"	1460
	"Alabama"	"01"	"2016"	"2016"	"August"	"8"	"25-29 years"	"25-29"	1711
	"Alabama"	"01"	"2016"	"2016"	"August"	"8"	"30-34 years"	"30-34"	1176
	"Alabama"	"01"	"2016"	"2016"	"August"	"8"	"35-39 years"	"35-39"	469
	"Alabama"	"01"	"2016"	"2016"	"August"	"8"	"40-44 years"	"40-44"	88
	"Alabama"	"01"	"2016"	"2016"	"August"	"8"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"August"	"8"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"September"	"9"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"September"	"9"	"15-19 years"	"15-19"	396
	"Alabama"	"01"	"2016"	"2016"	"September"	"9"	"20-24 years"	"20-24"	1375
	"Alabama"	"01"	"2016"	"2016"	"September"	"9"	"25-29 years"	"25-29"	1645
	"Alabama"	"01"	"2016"	"2016"	"September"	"9"	"30-34 years"	"30-34"	1231
	"Alabama"	"01"	"2016"	"2016"	"September"	"9"	"35-39 years"	"35-39"	497
	"Alabama"	"01"	"2016"	"2016"	"September"	"9"	"40-44 years"	"40-44"	91
	"Alabama"	"01"	"2016"	"2016"	"September"	"9"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"September"	"9"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2016"	"2016"	"October"	"10"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"October"	"10"	"15-19 years"	"15-19"	363
	"Alabama"	"01"	"2016"	"2016"	"October"	"10"	"20-24 years"	"20-24"	1394
	"Alabama"	"01"	"2016"	"2016"	"October"	"10"	"25-29 years"	"25-29"	1540
	"Alabama"	"01"	"2016"	"2016"	"October"	"10"	"30-34 years"	"30-34"	1126
	"Alabama"	"01"	"2016"	"2016"	"October"	"10"	"35-39 years"	"35-39"	462
	"Alabama"	"01"	"2016"	"2016"	"October"	"10"	"40-44 years"	"40-44"	83
	"Alabama"	"01"	"2016"	"2016"	"October"	"10"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"October"	"10"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2016"	"2016"	"November"	"11"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"November"	"11"	"15-19 years"	"15-19"	370
	"Alabama"	"01"	"2016"	"2016"	"November"	"11"	"20-24 years"	"20-24"	1385
	"Alabama"	"01"	"2016"	"2016"	"November"	"11"	"25-29 years"	"25-29"	1592
	"Alabama"	"01"	"2016"	"2016"	"November"	"11"	"30-34 years"	"30-34"	1060
	"Alabama"	"01"	"2016"	"2016"	"November"	"11"	"35-39 years"	"35-39"	432
	"Alabama"	"01"	"2016"	"2016"	"November"	"11"	"40-44 years"	"40-44"	62
	"Alabama"	"01"	"2016"	"2016"	"November"	"11"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"November"	"11"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"December"	"12"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"December"	"12"	"15-19 years"	"15-19"	406
	"Alabama"	"01"	"2016"	"2016"	"December"	"12"	"20-24 years"	"20-24"	1364
	"Alabama"	"01"	"2016"	"2016"	"December"	"12"	"25-29 years"	"25-29"	1531
	"Alabama"	"01"	"2016"	"2016"	"December"	"12"	"30-34 years"	"30-34"	1103
	"Alabama"	"01"	"2016"	"2016"	"December"	"12"	"35-39 years"	"35-39"	446
	"Alabama"	"01"	"2016"	"2016"	"December"	"12"	"40-44 years"	"40-44"	82
	"Alabama"	"01"	"2016"	"2016"	"December"	"12"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2016"	"2016"	"December"	"12"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"15-19 years"	"15-19"	369
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"20-24 years"	"20-24"	1345
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"25-29 years"	"25-29"	1608
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"30-34 years"	"30-34"	1093
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"35-39 years"	"35-39"	447
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"40-44 years"	"40-44"	70
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"January"	"1"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"15-19 years"	"15-19"	323
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"20-24 years"	"20-24"	1289
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"25-29 years"	"25-29"	1357
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"30-34 years"	"30-34"	1003
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"35-39 years"	"35-39"	437
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"40-44 years"	"40-44"	79
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"February"	"2"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"15-19 years"	"15-19"	351
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"20-24 years"	"20-24"	1243
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"25-29 years"	"25-29"	1541
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"30-34 years"	"30-34"	1135
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"35-39 years"	"35-39"	437
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"40-44 years"	"40-44"	88
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"March"	"3"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"15-19 years"	"15-19"	337
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"20-24 years"	"20-24"	1120
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"25-29 years"	"25-29"	1427
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"30-34 years"	"30-34"	1006
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"35-39 years"	"35-39"	423
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"40-44 years"	"40-44"	65
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"April"	"4"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"May"	"5"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"May"	"5"	"15-19 years"	"15-19"	338
	"Alabama"	"01"	"2017"	"2017"	"May"	"5"	"20-24 years"	"20-24"	1279
	"Alabama"	"01"	"2017"	"2017"	"May"	"5"	"25-29 years"	"25-29"	1489
	"Alabama"	"01"	"2017"	"2017"	"May"	"5"	"30-34 years"	"30-34"	1089
	"Alabama"	"01"	"2017"	"2017"	"May"	"5"	"35-39 years"	"35-39"	476
	"Alabama"	"01"	"2017"	"2017"	"May"	"5"	"40-44 years"	"40-44"	82
	"Alabama"	"01"	"2017"	"2017"	"May"	"5"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"May"	"5"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2017"	"2017"	"June"	"6"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"June"	"6"	"15-19 years"	"15-19"	327
	"Alabama"	"01"	"2017"	"2017"	"June"	"6"	"20-24 years"	"20-24"	1308
	"Alabama"	"01"	"2017"	"2017"	"June"	"6"	"25-29 years"	"25-29"	1551
	"Alabama"	"01"	"2017"	"2017"	"June"	"6"	"30-34 years"	"30-34"	1076
	"Alabama"	"01"	"2017"	"2017"	"June"	"6"	"35-39 years"	"35-39"	462
	"Alabama"	"01"	"2017"	"2017"	"June"	"6"	"40-44 years"	"40-44"	91
	"Alabama"	"01"	"2017"	"2017"	"June"	"6"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"June"	"6"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2017"	"2017"	"July"	"7"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"July"	"7"	"15-19 years"	"15-19"	360
	"Alabama"	"01"	"2017"	"2017"	"July"	"7"	"20-24 years"	"20-24"	1376
	"Alabama"	"01"	"2017"	"2017"	"July"	"7"	"25-29 years"	"25-29"	1674
	"Alabama"	"01"	"2017"	"2017"	"July"	"7"	"30-34 years"	"30-34"	1121
	"Alabama"	"01"	"2017"	"2017"	"July"	"7"	"35-39 years"	"35-39"	442
	"Alabama"	"01"	"2017"	"2017"	"July"	"7"	"40-44 years"	"40-44"	72
	"Alabama"	"01"	"2017"	"2017"	"July"	"7"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"July"	"7"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2017"	"2017"	"August"	"8"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"August"	"8"	"15-19 years"	"15-19"	409
	"Alabama"	"01"	"2017"	"2017"	"August"	"8"	"20-24 years"	"20-24"	1470
	"Alabama"	"01"	"2017"	"2017"	"August"	"8"	"25-29 years"	"25-29"	1752
	"Alabama"	"01"	"2017"	"2017"	"August"	"8"	"30-34 years"	"30-34"	1304
	"Alabama"	"01"	"2017"	"2017"	"August"	"8"	"35-39 years"	"35-39"	514
	"Alabama"	"01"	"2017"	"2017"	"August"	"8"	"40-44 years"	"40-44"	83
	"Alabama"	"01"	"2017"	"2017"	"August"	"8"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"August"	"8"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"September"	"9"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"September"	"9"	"15-19 years"	"15-19"	370
	"Alabama"	"01"	"2017"	"2017"	"September"	"9"	"20-24 years"	"20-24"	1403
	"Alabama"	"01"	"2017"	"2017"	"September"	"9"	"25-29 years"	"25-29"	1667
	"Alabama"	"01"	"2017"	"2017"	"September"	"9"	"30-34 years"	"30-34"	1174
	"Alabama"	"01"	"2017"	"2017"	"September"	"9"	"35-39 years"	"35-39"	511
	"Alabama"	"01"	"2017"	"2017"	"September"	"9"	"40-44 years"	"40-44"	83
	"Alabama"	"01"	"2017"	"2017"	"September"	"9"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"September"	"9"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2017"	"2017"	"October"	"10"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"October"	"10"	"15-19 years"	"15-19"	368
	"Alabama"	"01"	"2017"	"2017"	"October"	"10"	"20-24 years"	"20-24"	1332
	"Alabama"	"01"	"2017"	"2017"	"October"	"10"	"25-29 years"	"25-29"	1629
	"Alabama"	"01"	"2017"	"2017"	"October"	"10"	"30-34 years"	"30-34"	1164
	"Alabama"	"01"	"2017"	"2017"	"October"	"10"	"35-39 years"	"35-39"	481
	"Alabama"	"01"	"2017"	"2017"	"October"	"10"	"40-44 years"	"40-44"	73
	"Alabama"	"01"	"2017"	"2017"	"October"	"10"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"October"	"10"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"November"	"11"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"November"	"11"	"15-19 years"	"15-19"	361
	"Alabama"	"01"	"2017"	"2017"	"November"	"11"	"20-24 years"	"20-24"	1319
	"Alabama"	"01"	"2017"	"2017"	"November"	"11"	"25-29 years"	"25-29"	1498
	"Alabama"	"01"	"2017"	"2017"	"November"	"11"	"30-34 years"	"30-34"	1152
	"Alabama"	"01"	"2017"	"2017"	"November"	"11"	"35-39 years"	"35-39"	548
	"Alabama"	"01"	"2017"	"2017"	"November"	"11"	"40-44 years"	"40-44"	87
	"Alabama"	"01"	"2017"	"2017"	"November"	"11"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"November"	"11"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2017"	"2017"	"December"	"12"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"December"	"12"	"15-19 years"	"15-19"	328
	"Alabama"	"01"	"2017"	"2017"	"December"	"12"	"20-24 years"	"20-24"	1296
	"Alabama"	"01"	"2017"	"2017"	"December"	"12"	"25-29 years"	"25-29"	1581
	"Alabama"	"01"	"2017"	"2017"	"December"	"12"	"30-34 years"	"30-34"	1108
	"Alabama"	"01"	"2017"	"2017"	"December"	"12"	"35-39 years"	"35-39"	469
	"Alabama"	"01"	"2017"	"2017"	"December"	"12"	"40-44 years"	"40-44"	103
	"Alabama"	"01"	"2017"	"2017"	"December"	"12"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"December"	"12"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"15-19 years"	"15-19"	365
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"20-24 years"	"20-24"	1341
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"25-29 years"	"25-29"	1534
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"30-34 years"	"30-34"	1076
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"35-39 years"	"35-39"	493
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"40-44 years"	"40-44"	80
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"January"	"1"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"15-19 years"	"15-19"	322
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"20-24 years"	"20-24"	1169
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"25-29 years"	"25-29"	1331
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"30-34 years"	"30-34"	1003
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"35-39 years"	"35-39"	433
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"40-44 years"	"40-44"	77
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"February"	"2"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"15-19 years"	"15-19"	314
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"20-24 years"	"20-24"	1255
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"25-29 years"	"25-29"	1471
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"30-34 years"	"30-34"	1119
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"35-39 years"	"35-39"	491
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"40-44 years"	"40-44"	96
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"45-49 years"	"45-49"	10
	"Alabama"	"01"	"2018"	"2018"	"March"	"3"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2018"	"2018"	"April"	"4"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"April"	"4"	"15-19 years"	"15-19"	315
	"Alabama"	"01"	"2018"	"2018"	"April"	"4"	"20-24 years"	"20-24"	1121
	"Alabama"	"01"	"2018"	"2018"	"April"	"4"	"25-29 years"	"25-29"	1442
	"Alabama"	"01"	"2018"	"2018"	"April"	"4"	"30-34 years"	"30-34"	980
	"Alabama"	"01"	"2018"	"2018"	"April"	"4"	"35-39 years"	"35-39"	436
	"Alabama"	"01"	"2018"	"2018"	"April"	"4"	"40-44 years"	"40-44"	84
	"Alabama"	"01"	"2018"	"2018"	"April"	"4"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"April"	"4"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"May"	"5"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"May"	"5"	"15-19 years"	"15-19"	315
	"Alabama"	"01"	"2018"	"2018"	"May"	"5"	"20-24 years"	"20-24"	1268
	"Alabama"	"01"	"2018"	"2018"	"May"	"5"	"25-29 years"	"25-29"	1559
	"Alabama"	"01"	"2018"	"2018"	"May"	"5"	"30-34 years"	"30-34"	1120
	"Alabama"	"01"	"2018"	"2018"	"May"	"5"	"35-39 years"	"35-39"	432
	"Alabama"	"01"	"2018"	"2018"	"May"	"5"	"40-44 years"	"40-44"	85
	"Alabama"	"01"	"2018"	"2018"	"May"	"5"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"May"	"5"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"June"	"6"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"June"	"6"	"15-19 years"	"15-19"	298
	"Alabama"	"01"	"2018"	"2018"	"June"	"6"	"20-24 years"	"20-24"	1270
	"Alabama"	"01"	"2018"	"2018"	"June"	"6"	"25-29 years"	"25-29"	1532
	"Alabama"	"01"	"2018"	"2018"	"June"	"6"	"30-34 years"	"30-34"	1136
	"Alabama"	"01"	"2018"	"2018"	"June"	"6"	"35-39 years"	"35-39"	444
	"Alabama"	"01"	"2018"	"2018"	"June"	"6"	"40-44 years"	"40-44"	82
	"Alabama"	"01"	"2018"	"2018"	"June"	"6"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"June"	"6"	"50 years and over"	"50+"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"July"	"7"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"July"	"7"	"15-19 years"	"15-19"	331
	"Alabama"	"01"	"2018"	"2018"	"July"	"7"	"20-24 years"	"20-24"	1294
	"Alabama"	"01"	"2018"	"2018"	"July"	"7"	"25-29 years"	"25-29"	1628
	"Alabama"	"01"	"2018"	"2018"	"July"	"7"	"30-34 years"	"30-34"	1143
	"Alabama"	"01"	"2018"	"2018"	"July"	"7"	"35-39 years"	"35-39"	470
	"Alabama"	"01"	"2018"	"2018"	"July"	"7"	"40-44 years"	"40-44"	66
	"Alabama"	"01"	"2018"	"2018"	"July"	"7"	"45-49 years"	"45-49"	0
	"Alabama"	"01"	"2018"	"2018"	"July"	"7"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2018"	"2018"	"August"	"8"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"August"	"8"	"15-19 years"	"15-19"	354
	"Alabama"	"01"	"2018"	"2018"	"August"	"8"	"20-24 years"	"20-24"	1402
	"Alabama"	"01"	"2018"	"2018"	"August"	"8"	"25-29 years"	"25-29"	1677
	"Alabama"	"01"	"2018"	"2018"	"August"	"8"	"30-34 years"	"30-34"	1227
	"Alabama"	"01"	"2018"	"2018"	"August"	"8"	"35-39 years"	"35-39"	499
	"Alabama"	"01"	"2018"	"2018"	"August"	"8"	"40-44 years"	"40-44"	108
	"Alabama"	"01"	"2018"	"2018"	"August"	"8"	"45-49 years"	"45-49"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"August"	"8"	"50 years and over"	"50+"	0
	"Alabama"	"01"	"2018"	"2018"	"September"	"9"	"Under 15 years"	"15"	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"September"	"9"	"15-19 years"	"15-19"	340
	"Alabama"	"01"	"2018"	"2018"	"September"	"9"	"20-24 years"	"20-24"	1224
	"Alabama"	"01"	"2018"	"2018"	"September"	"9"	"25-29 years"	"25-29"	1532
	"Alabama"	"01"	"2018"	"2018"	"September"	"9"	"30-34 years"	"30-34"	1139
	"Alabama"	"01"	"2018"	"2018"	"September"	"9"	"35-39 years"	"35-39"	487
